Date,Cases,GTrend,Traffic
2021-01-25,858,14.63,461.72
2021-01-26,650,16.62,738.09
2021-01-27,658,15.2,691.86
2021-01-28,610,12.98,691.86
2021-01-29,590,14.15,413.0
2021-01-30,422,9.54,195.89
2021-01-31,162,11.64,412.18
2021-02-01,611,11.37,330.31
2021-02-02,646,19.2,250.75
2021-02-03,576,16.18,314.61
2021-02-04,533,18.29,243.17
2021-02-05,406,20.25,345.62
2021-02-06,266,16.45,527.79
2021-02-07,211,9.94,364.09
2021-02-08,391,17.48,328.99
2021-02-09,412,20.54,305.94
2021-02-10,366,20.36,324.72
2021-02-11,442,15.86,213.11
2021-02-12,357,22.8,158.19
2021-02-13,221,16.65,374.54
2021-02-14,144,14.72,489.38
2021-02-15,258,9.78,361.87
2021-02-16,212,11.41,409.26
2021-02-17,386,11.13,525.92
2021-02-18,317,12.07,237.9
2021-02-19,321,9.6,367.77
2021-02-20,216,9.3,483.74
2021-02-21,158,7.37,448.42
2021-02-22,391,6.38,204.91
2021-02-23,315,6.86,430.7
2021-02-24,335,12.84,323.1
2021-02-25,280,11.6,126.99
2021-02-26,359,14.52,186.34
2021-02-27,179,6.21,426.68
2021-02-28,149,8.62,490.04
2021-03-01,314,13.34,371.71
2021-03-02,331,16.08,121.54
2021-03-03,337,18.52,160.62
2021-03-04,283,16.21,382.61
2021-03-05,290,10.32,140.17
2021-03-06,215,17.05,72.74
2021-03-07,174,10.68,481.44
2021-03-08,323,9.55,60.96
2021-03-09,326,11.68,1215.33
2021-03-10,329,15.68,1053.25
2021-03-11,345,11.37,872.78
2021-03-12,347,12.2,1070.69
2021-03-13,252,14.67,832.96
2021-03-14,183,12.57,523.26
2021-03-15,366,10.07,430.04
2021-03-16,446,7.15,838.53
2021-03-17,476,8.71,864.22
2021-03-18,418,8.9,867.84
2021-03-19,434,8.64,892.1
2021-03-20,275,11.31,838.92
2021-03-21,220,14.69,532.66
2021-03-22,534,12.01,397.22
2021-03-23,557,19.17,798.29
2021-03-24,674,16.65,873.26
2021-03-25,669,10.71,865.0
2021-03-26,593,15.03,861.86
2021-03-27,406,14.31,730.85
2021-03-28,348,12.64,478.73
2021-03-29,721,19.87,413.47
2021-03-30,720,20.77,794.69
2021-03-31,705,15.32,859.48
2021-04-01,710,19.88,777.85
2021-04-02,668,22.74,790.91
2021-04-03,452,16.43,798.56
2021-04-04,301,20.01,484.73
2021-04-05,925,16.15,392.73
2021-04-06,846,16.71,792.0
2021-04-07,830,18.06,866.82
2021-04-08,851,20.69,887.88
2021-04-09,769,16.84,916.71
2021-04-10,547,18.1,896.6
2021-04-11,364,17.44,535.4
2021-04-12,878,15.04,426.18
2021-04-13,676,19.36,847.23
2021-04-14,778,20.16,923.79
2021-04-15,588,14.22,883.68
2021-04-16,629,21.07,896.42
2021-04-17,394,19.16,858.93
2021-04-18,158,13.79,448.3
